Metabolite,baseMean,FC,log2FC,Test,Stat,pvalue,adj_pvalue,Significant,Direction,abs_log2FC,neg_log10_adj_pval,Colour
NEG.860.275@5.5799136,15348.157894736842,2.6924598643091437,1.4289248391079288,Mann-Whitney U,2501.0,1.4049163483496474e-08,4.302113591080769e-07,True,Up,1.4289248391079288,6.366318126880147,red
POS.408.1584@5.6560044,682739.5617977529,146.31632899758907,7.192946973941929,Mann-Whitney U,2496.0,1.6683212154272876e-08,4.942571145542306e-07,True,Up,7.192946973941929,6.306047070543566,red
NEG.798.3049@5.579757,90967.83720930232,3.5712653164062194,1.836435318590674,Mann-Whitney U,2495.0,1.7264792692788058e-08,5.033032365801574e-07,True,Up,1.836435318590674,6.298170276786681,red
POS.438.1198@5.588993,130407.58241758242,2.222965914790589,1.1524858273844327,Mann-Whitney U,2485.0,2.4275556325220215e-08,6.804625173007881e-07,True,Up,1.1524858273844327,6.167195792544072,red
NEG.643.4024@7.2670646,255847.0900900901,2.1924572704876852,1.132548725791455,Mann-Whitney U,2474.0,3.517865654793251e-08,8.964407304941683e-07,True,Up,1.132548725791455,6.04747841917513,red
POS.215.0432@2.1799963,22146.086419753086,0.014081018951257008,-6.150104453616583,Mann-Whitney U,607.5,3.954930787918623e-08,9.871073829572236e-07,True,Down,6.150104453616583,6.005635599823747,blue
POS.576.4354@9.180009,32005.107526881722,0.18021320139730979,-2.4722233962063402,Mann-Whitney U,613.0,4.7508761043148406e-08,1.1465028161671046e-06,True,Down,2.4722233962063402,5.9406248741705605,blue
NEG.290.0819@4.2434,96930.8111111111,4.753567892932124,2.249010765910327,Mann-Whitney U,2463.0,5.07704310872997e-08,1.2013470836501307e-06,True,Up,2.249010765910327,5.920331501558696,red
POS.278.1624@3.6669967,112015.47272727273,0.4482756086937959,-1.1575420924290118,Mann-Whitney U,617.0,5.424868798865813e-08,1.2591224142080905e-06,True,Down,1.1575420924290118,5.89993204492736,blue
POS.630.2999@5.5880075,7997.0,2.5533502457682884,1.3523914473319087,Mann-Whitney U,2455.0,6.612158061709638e-08,1.4603815696767492e-06,True,Up,1.3523914473319087,5.835533656575635,red
NEG.358.0696@3.6333,25235.532467532466,2.6713046415422146,1.4175445135170859,Mann-Whitney U,2439.0,1.1144877850905876e-07,2.243753308768012e-06,True,Up,1.4175445135170859,5.649024893641448,red
NEG.608.3193@5.5789337,53572.31460674157,2.243460764542848,1.1657259532166504,Mann-Whitney U,2437.0,1.1889103490348667e-07,2.3545594086320945e-06,True,Up,1.1657259532166504,5.628090347261778,red
NEG.443.0975@7.436207,57589.339622641506,2.0908611907648593,1.0640972866800102,Mann-Whitney U,2430.0,1.4891737788110845e-07,2.8864623670146763e-06,True,Up,1.0640972866800102,5.539634100352915,red
NEG.939.6353@7.2685275,12346.060975609756,2.0187753719521693,1.0134803916998392,Mann-Whitney U,2427.0,1.639121327865053e-07,3.111109207188482e-06,True,Up,1.0134803916998392,5.50708474387461,red
POS.392.1436@3.8699968,30420.704545454544,3.4932998322347886,1.8045904755166207,Mann-Whitney U,2426.0,1.6924130850192452e-07,3.1305346608173244e-06,True,Up,1.8045904755166207,5.5043814834078955,red
NEG.424.2094@3.4095533,14245.648148148148,2.7303338987746653,1.4490773924089402,Mann-Whitney U,2426.0,1.6924130850192452e-07,3.1305346608173244e-06,True,Up,1.4490773924089402,5.5043814834078955,red
NEG.624.4502@7.265283,42370.84403669725,2.073922678037309,1.0523621072217295,Mann-Whitney U,2426.0,1.6924130850192452e-07,3.1305346608173244e-06,True,Up,1.0523621072217295,5.5043814834078955,red
POS.746.2813@5.588994,15828.75,3.558917633685178,1.8314385440168492,Mann-Whitney U,2423.0,1.8621866043191887e-07,3.4099537618789566e-06,True,Up,1.8314385440168492,5.467251509892244,red
